country_size,size
0/1/2/3,['S' 'XS' 'M' 'L']
00/0/1/2(STUDIO NICHOLSON)/常规码,['0' '1' '00']
丹麦 (DK),['32' '34' '36']
常规码,"['42' 'M' '46' '欧洲码44' 'S' nan '意大利码46' 'XXL' '40' 'L' 'XL' '50' '36' '38'
 '39' '48' '41' '52' '44' 'XS' 'F' 'XXS' '54' '34' 'XXXL' 'U' '044' '046'
 '048' '050' '38/48' '40/50' '42/52' '44/54' '36/46' 'XXS/XS' 'XS/S' 'S/M'
 'M/L' 'L/XL' '32' '052' '2XS' 'XL/2XL' '2XS/XS' '3XL' '48 175/96A'
 '50 180/100A' '52 180/104A' '54 185/108A' 'S码 165/88A' 'M码 170/92A'
 'L码 175/96A' 'XL码 180/100A' '2XL' '56' '16' '16M' '15M']"
常规码 ,['S' 'L' 'M' 'XS' 'S-M' 'XXS' '2XS']
意大利 (IT),"[nan '欧洲码40' '46' 'M' 'S' 'XS' '38' '42' '40' '欧洲码46' '衬衫通用码40' '欧洲码42'
 '欧洲码38' '欧洲码44' '44' '48' '36' '50' 'L' 'XXL' 'XL' '52' 'XXS' '1' '0'
 '34' '54' '39' '1XL' '2XL' '41' '43' '37' 'U' 'TU' '2XS' '10']"
意大利 (IT) / 欧洲 (EU),['XXL' 'XS' 'L']
意大利 (IT)/常规码,['38' '40' 'S' 'M' 'L' 'XL' 'XS' '42']
意大利 (IT)/常规码/美国 (US),['M' 'L' 'S' 'XS' 'XXS' '38' '40' '44' '42' '36']
意大利 (IT)/法国 (FR),"['44' 'M' 'S' 'L' '39' 'XS' '46' '50' '48' '40' '41' 'XL' '42' '52' '38'
 '37' '2XL' '12A' '12+']"
意大利 (IT)/法国 (FR)/常规码,"['42' '39' 'L' 'S' 'XL' 'M' '48' '50' '52' '46' nan '41' '40' 'XS' '54'
 'XXL' '37' '38' '44' '56' '43' 'U']"
意大利 (IT)/法国 (FR)/美国 (US)/英国 (UK),"['L' 'XL' 'M' 'S' 'XXL' '43' 'XS' '38' '39' '46' '48' '50' '52' '54' '44'
 'XXXL' '2XL' '40' '41' '42' '56']"
意大利 (IT)/鞋靴为英国码（UK),['XL' 'S' '46' '52' '54' '48' '50' '44' '40' '36' '38' 'L' 'M' 'XXL' '39']
意大利（IT）/常规码,['S' 'XS' 'M' '欧洲码50' '欧洲码44' '欧洲码46' '欧洲码52' 'L' 'xL']
日本 (JP),['1' '2' '3']
法国 (FR),"['40' '衬衫通用码45' nan '42' '欧洲码38' '欧洲码44' '36' '38' 'L' 'XS' 'S' '39' 'M'
 'OS' '34' 'XXS' '41' 'XL' '44' '46' '48' 'U' '40F' 'XXL' '37' '50' '52'
 '32' 'S/M' 'XXS/XS' '43' 'L/XL' 'M-L' 'XS-S' '2XS/XS' '2XS' 'S码/160/76A'
 'XS码/155/72A' 'L码/170/84A' 'M码 165/80A' 'S码 160/76A' 'M码 165/80A\xa0'
 'L码180/88A' 'L码/180/88A' 'M码/175/84A' 'S码170/80A' 'S码/170/80A'
 'XL码 185/92A' 'M码/165/80A' 'XXL/190/96A' 'M码 175/84A' 'L码 180/88A'
 'XS码 165/76A' '40码 180/88A' 'S码 170/80A' '39码/175/84A' '40码/180/88A'
 '41码/185/92A' 'M码175/84A' 'XL码/185/92A' 'L码 170/84A' 'XL码 175/88A'
 'XXL码/190/96A' 'M码_175/84A' '2XL']"
法国 (FR)/0/1/2/3（suncoo）,['XS' 'S' '1' nan '0' '2' 'T2' '3']
法国 (FR)/常规码,"['XS' 'M' 'L' 'S' 'XXS' 'XL' 'XXL' '34' '36' 'U' '38' '2XS' '39' '40' '41'
 '42' '2XL' 'F']"
澳大利亚 (AU),['XXS/4' 'XS/6' 'S/8' '12' 'XS' 'S' 'M' '6' '8' '10' '4']
美国 (US),['S' 'M' 'L' 'XS' '4' '2' '6' 'P' 'XL' '38' '39' '40' '2XS' 'XXS' 'U']
美国 (US)/英国 (UK)/日本 (JP),['1' '2' '0' '4' '3' '00' '5' '36' '38' '40' '42' '44' 'M' 'L']
美国码（US)/常规码,['02' 'M' 'XS' 'S']
英国 (UK),"['40' 'XS' '英码8' '50' nan 'M' 'xL' '56' '52' 'L' 'XL' '48' '54' '4' 'S'
 'U' '8' '6' '46' '44' 'XXS' '0' '02' 'XXL' '2XS' '10' '12' '2' '14' '3'
 '2XL' '08' '04' 'M（175/92A）' '06']"
